plate,owner,phone,class_vehicle,province,registration_date,id_card,type,time,violation_folder,plate_img
,Không xác định,,,,,,NGUOC CHIEU,22:35:27,violations\ID46_20260524_223527_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:35:27,violations\ID47_20260524_223527_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:35:28,violations\ID60_20260524_223528_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:35:37,violations\ID11_20260524_223537_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:35:41,violations\ID76_20260524_223541_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:35:42,violations\ID65_20260524_223542_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:35:45,violations\ID67_20260524_223545_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:35:55,violations\ID82_20260524_223555_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:35:56,violations\ID106_20260524_223556__NGUOCCHIEU,violations\ID106_20260524_223556__NGUOCCHIEU\plate_.jpg
,Không xác định,,,,,,NGUOC CHIEU,22:35:56,violations\ID104_20260524_223556_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:02,violations\ID116_20260524_223602_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:03,violations\ID114_20260524_223603_UNKNOWN_NGUOCCHIEU,
QVB24L,Không xác định,,,,,,NGUOC CHIEU,22:36:04,violations\ID81_20260524_223604_QVB24L_NGUOCCHIEU,violations\ID81_20260524_223604_QVB24L_NGUOCCHIEU\plate_QVB24L.jpg
,Không xác định,,,,,,NGUOC CHIEU,22:36:08,violations\ID135_20260524_223608_UNKNOWN_NGUOCCHIEU,
,Không xác định,,,,,,NGUOC CHIEU,22:36:08,violations\ID95_20260524_223608_UNKNOWN_NGUOCCHIEU,
