epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2241.85,0.95267,0.58349,1.05425,0.83935,0.88849,0.92619,0.57503,1.36807,0.71981,1.36977,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,2313.8,0.94857,0.57165,1.04944,0.89838,0.82796,0.91272,0.57422,1.32817,0.74098,1.3519,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,2385.37,0.9353,0.56547,1.04612,0.88528,0.83309,0.91162,0.56563,1.36115,0.75313,1.37338,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,2457.13,0.91825,0.55323,1.0379,0.84859,0.85715,0.9149,0.57389,1.34985,0.76232,1.37971,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,2528.98,0.91218,0.55396,1.03253,0.87588,0.84595,0.91294,0.57554,1.35681,0.73003,1.38858,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,2600.63,0.90765,0.54583,1.0301,0.85748,0.87127,0.90811,0.57211,1.36,0.7425,1.37191,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,2672.65,0.89249,0.53498,1.02627,0.85645,0.85443,0.91158,0.57147,1.37164,0.7497,1.41115,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,2745.01,0.8973,0.53086,1.02623,0.84211,0.88214,0.91575,0.58101,1.35629,0.73946,1.37116,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,2819.02,0.89094,0.53242,1.02274,0.84542,0.85336,0.90982,0.5834,1.34035,0.76265,1.35924,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,2892.43,0.88022,0.52402,1.02586,0.8281,0.89384,0.92275,0.58469,1.34193,0.70957,1.39251,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,2965.3,0.87002,0.52303,1.01516,0.82727,0.88253,0.9136,0.58013,1.34393,0.76346,1.38015,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,3037.87,0.85285,0.51073,1.00765,0.84509,0.87685,0.91013,0.57561,1.34413,0.73433,1.3848,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,3110.21,0.83883,0.50002,1.00146,0.85186,0.85208,0.91222,0.58461,1.34592,0.74402,1.37946,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,3182.15,0.8386,0.49742,1.00124,0.85087,0.87153,0.91147,0.58152,1.35513,0.77367,1.40748,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,3254,0.83534,0.4975,0.99466,0.84811,0.86043,0.91335,0.57981,1.36401,0.76995,1.42335,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,3326.83,0.82577,0.48926,0.99464,0.84486,0.87178,0.90794,0.57289,1.36224,0.75756,1.4395,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,3401.29,0.81633,0.48453,0.9918,0.87951,0.82304,0.90176,0.57225,1.34968,0.7799,1.40297,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,3478.24,0.81926,0.48211,0.98592,0.85758,0.85601,0.90641,0.57443,1.33672,0.7763,1.40226,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,3558.3,0.81277,0.47729,0.98752,0.84216,0.86363,0.89906,0.5699,1.34563,0.77419,1.41373,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,3638.37,0.7991,0.46864,0.98621,0.8609,0.86537,0.903,0.57513,1.33339,0.76675,1.39853,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,3718.31,0.79795,0.47026,0.97916,0.82573,0.88342,0.90424,0.57907,1.34584,0.75748,1.40992,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,3797.88,0.77273,0.45827,0.97032,0.8949,0.84862,0.90194,0.57431,1.35108,0.75662,1.41979,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,3878.03,0.78294,0.46226,0.97328,0.87659,0.86073,0.9174,0.58552,1.3384,0.7402,1.42677,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,3957.44,0.77532,0.45091,0.97126,0.87169,0.85386,0.90306,0.56778,1.33761,0.7664,1.39513,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,4037.98,0.76202,0.4469,0.96195,0.86485,0.86176,0.89207,0.56125,1.3487,0.76605,1.41773,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
55,4118.55,0.76809,0.44797,0.96953,0.84451,0.88449,0.90742,0.5758,1.34219,0.76342,1.41868,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
56,4198.45,0.75277,0.44086,0.95832,0.8804,0.82249,0.90315,0.57738,1.34784,0.79386,1.42515,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
57,4278.26,0.73917,0.43707,0.95694,0.85859,0.86551,0.90384,0.57571,1.3622,0.76374,1.43703,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
58,4358.35,0.74322,0.43875,0.95755,0.868,0.84674,0.89946,0.56781,1.35832,0.78762,1.44088,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
59,4438.09,0.73661,0.43512,0.95325,0.87917,0.85706,0.90646,0.57728,1.35964,0.75658,1.42959,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
60,4518.15,0.73262,0.43022,0.95637,0.8622,0.85484,0.89967,0.56913,1.35879,0.7695,1.44974,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305
61,4597.75,0.72268,0.42458,0.9485,0.85538,0.86867,0.90039,0.56713,1.35346,0.77408,1.45453,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
62,4677.57,0.72098,0.42571,0.95056,0.85705,0.86766,0.9104,0.57832,1.34686,0.75631,1.43805,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299
63,4757.58,0.72039,0.42076,0.95225,0.83674,0.88449,0.9053,0.57606,1.33727,0.77508,1.43351,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
64,4837.33,0.71317,0.41756,0.94924,0.85375,0.8616,0.89111,0.56192,1.33733,0.77824,1.42926,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292
65,4917.3,0.70657,0.41075,0.94776,0.88167,0.84627,0.90661,0.57285,1.3482,0.76733,1.44917,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
66,4997.45,0.69832,0.41343,0.94369,0.86107,0.85676,0.9055,0.58033,1.33821,0.77154,1.43559,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
67,5077.23,0.69273,0.40546,0.93805,0.8639,0.85322,0.90477,0.58295,1.34461,0.78142,1.43021,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
68,5157.07,0.68599,0.40405,0.93243,0.85421,0.85551,0.89826,0.58072,1.34396,0.78411,1.43024,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279
69,5232.56,0.68005,0.39831,0.92653,0.82923,0.88608,0.90864,0.58137,1.34063,0.77697,1.42582,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
70,5304.85,0.6772,0.39739,0.92979,0.86408,0.85235,0.9068,0.58221,1.34362,0.76759,1.43559,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272
71,5377.43,0.67934,0.39873,0.92872,0.84967,0.85077,0.89719,0.57635,1.35512,0.77738,1.45909,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
72,5449.47,0.67489,0.39726,0.92964,0.85724,0.84888,0.9067,0.57883,1.3537,0.77449,1.45689,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266
73,5522.12,0.66173,0.38981,0.92656,0.87351,0.85285,0.90741,0.59068,1.33825,0.7611,1.44715,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
74,5594.6,0.666,0.39031,0.92476,0.86368,0.86128,0.9045,0.58013,1.34908,0.77668,1.44575,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259
75,5666.83,0.65581,0.38774,0.92637,0.83452,0.88262,0.90697,0.58134,1.34014,0.76095,1.4455,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
76,5739.15,0.64404,0.38279,0.92182,0.83881,0.8577,0.90008,0.58005,1.32768,0.80707,1.44426,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
77,5811.22,0.64432,0.3779,0.91782,0.86705,0.84968,0.90345,0.58476,1.33336,0.77854,1.44482,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
78,5883.57,0.6422,0.37988,0.92102,0.83981,0.85759,0.90027,0.58124,1.33536,0.7975,1.44992,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246
