epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11411.8,1.09545,0.5186,1.16687,0.98611,0.96816,0.98797,0.71823,1.0738,0.3741,1.14035,0.005842,0.005842,0.005842
44,11677.7,1.09477,0.51792,1.16291,0.99,0.9665,0.98663,0.7197,1.07109,0.37095,1.13928,0.005743,0.005743,0.005743
45,11943.4,1.08796,0.51641,1.16233,0.9905,0.9661,0.98676,0.71835,1.0733,0.37098,1.14054,0.005644,0.005644,0.005644
46,12208.9,1.0907,0.51585,1.15901,0.98689,0.96658,0.98837,0.71792,1.07567,0.36901,1.14176,0.005545,0.005545,0.005545
47,12475.5,1.0781,0.50372,1.15691,0.98634,0.96447,0.98664,0.71775,1.07014,0.3705,1.13743,0.005446,0.005446,0.005446
48,12741.7,1.07634,0.5031,1.14948,0.98127,0.96883,0.98857,0.71688,1.07173,0.36932,1.13845,0.005347,0.005347,0.005347
49,13007.3,1.07201,0.49979,1.14864,0.98844,0.96621,0.9889,0.71747,1.0693,0.36528,1.1362,0.005248,0.005248,0.005248
50,13272.3,1.07759,0.50226,1.15529,0.98801,0.96559,0.98781,0.71563,1.07363,0.36533,1.1388,0.005149,0.005149,0.005149
51,13537.5,1.0704,0.49912,1.1449,0.97979,0.97021,0.98819,0.717,1.07421,0.36657,1.13979,0.00505,0.00505,0.00505
52,13803.9,1.06582,0.49633,1.14318,0.98212,0.9697,0.98694,0.71852,1.06607,0.36418,1.13608,0.004951,0.004951,0.004951
53,14069.3,1.0563,0.48941,1.14047,0.98637,0.96456,0.98655,0.71733,1.06663,0.36313,1.13633,0.004852,0.004852,0.004852
54,14334.9,1.0536,0.48578,1.13738,0.97632,0.97381,0.98661,0.72033,1.06476,0.35986,1.1352,0.004753,0.004753,0.004753
55,14601,1.05478,0.48465,1.14162,0.98388,0.96764,0.98677,0.72012,1.06317,0.35909,1.13406,0.004654,0.004654,0.004654
56,14867.5,1.05205,0.48729,1.14069,0.98333,0.96949,0.98663,0.72102,1.06221,0.35761,1.13303,0.004555,0.004555,0.004555
57,15133.7,1.04876,0.47904,1.13938,0.98229,0.9684,0.98731,0.72325,1.06011,0.35712,1.13095,0.004456,0.004456,0.004456
58,15399.6,1.04179,0.47609,1.13284,0.98697,0.9661,0.98819,0.72156,1.06185,0.35754,1.13132,0.004357,0.004357,0.004357
59,15665.7,1.04081,0.47466,1.13015,0.98763,0.9661,0.98883,0.72343,1.06248,0.35639,1.13182,0.004258,0.004258,0.004258
60,15932,1.03064,0.47182,1.12006,0.98475,0.96816,0.98831,0.72187,1.0636,0.35637,1.13288,0.004159,0.004159,0.004159
61,16197.8,1.02516,0.46653,1.12111,0.98482,0.96867,0.98747,0.72157,1.06359,0.35637,1.1325,0.00406,0.00406,0.00406
62,16463.9,1.03071,0.46563,1.1221,0.98162,0.97175,0.98744,0.72286,1.06245,0.35518,1.13154,0.003961,0.003961,0.003961
63,16729.6,1.02228,0.46552,1.12099,0.98486,0.96918,0.98721,0.72316,1.06166,0.3549,1.13163,0.003862,0.003862,0.003862
64,16995.3,1.02024,0.46218,1.11888,0.98184,0.97179,0.98767,0.72319,1.05996,0.35409,1.13107,0.003763,0.003763,0.003763
65,17261.9,1.02476,0.46215,1.11651,0.98286,0.97215,0.98711,0.72237,1.06063,0.3538,1.13163,0.003664,0.003664,0.003664
66,17528,1.0125,0.45932,1.11854,0.98225,0.97381,0.98718,0.72445,1.06117,0.35351,1.13226,0.003565,0.003565,0.003565
67,17793.7,1.00377,0.45607,1.11297,0.98316,0.97432,0.98801,0.72457,1.06261,0.35295,1.13283,0.003466,0.003466,0.003466
68,18059.8,1.00477,0.45228,1.10643,0.98198,0.97432,0.98812,0.72423,1.06298,0.3531,1.1326,0.003367,0.003367,0.003367
69,18326.4,1.00476,0.44998,1.10964,0.98164,0.97432,0.98951,0.72368,1.06419,0.35216,1.13311,0.003268,0.003268,0.003268
70,18593.1,0.99306,0.44158,1.10328,0.98717,0.96816,0.98852,0.72386,1.0645,0.35113,1.13326,0.003169,0.003169,0.003169
71,18859.3,0.99312,0.43919,1.10204,0.98688,0.96816,0.98872,0.72356,1.06492,0.35071,1.13387,0.00307,0.00307,0.00307
72,19126.5,0.98553,0.43996,1.09979,0.98048,0.97432,0.98891,0.72339,1.06553,0.35133,1.13421,0.002971,0.002971,0.002971
73,19393,0.99017,0.44311,1.10105,0.98691,0.96784,0.98904,0.7233,1.06654,0.35109,1.13483,0.002872,0.002872,0.002872
74,19659.9,0.98518,0.44022,1.09571,0.98742,0.96785,0.98891,0.72293,1.06725,0.35095,1.13509,0.002773,0.002773,0.002773
75,19926.9,0.9745,0.43403,1.09335,0.98742,0.96757,0.98866,0.72242,1.06744,0.3506,1.13531,0.002674,0.002674,0.002674
76,20193.2,0.9757,0.42931,1.09254,0.98742,0.96728,0.98856,0.72221,1.06732,0.35027,1.13528,0.002575,0.002575,0.002575
77,20459.3,0.96877,0.42807,1.09091,0.98847,0.96713,0.98871,0.72267,1.06739,0.3501,1.13575,0.002476,0.002476,0.002476
78,20725.7,0.96507,0.42632,1.08684,0.98897,0.96751,0.98882,0.72166,1.06768,0.35028,1.13608,0.002377,0.002377,0.002377
79,20993.2,0.96248,0.42379,1.08446,0.98949,0.96741,0.98875,0.7223,1.06823,0.34965,1.13634,0.002278,0.002278,0.002278
